Champion,player,position,games,Win_perc,Champion_Level,KDA,KPAR,DPM,CSPM,CS_at_10,Vision_Score_PM,Enemy_JG_CS,Lane_dif_10,games_total,unique_players,avg_game,wr_round,pick_prop,pick_prop_round,champ_role,win_perc_rnd,playerbase
Malphite,Sunwoojung,Top,1,1,13,1.5,0.1579,534.17,5.27,46,0.69,0,-1641,28,16,1.75,1,0.035714286,0.0357,Malphite - Top,100,Broad
Malphite,Gible,Top,1,1,16,4,0.5,679.68,6.45,76,0.71,0,1088,28,16,1.75,1,0.035714286,0.0357,Malphite - Top,100,Broad
Malphite,FallenBandit,Top,1,1,17,3.8,0.6786,524.52,5.42,61,0.87,0,1230,28,16,1.75,1,0.035714286,0.0357,Malphite - Top,100,Broad
Malphite,Quas,Top,5,0.8,13.6,6.45,0.6425,525.85,5.62,59.8,0.58,1,-150.8,28,16,1.75,0.8,0.178571429,0.1786,Malphite - Top,80,Broad
Malphite,T21 Kedeck,Top,3,0.6667,13,2.8,0.3228,311.63,3.76,39.33,0.72,0.33,-3124.67,28,16,1.75,0.6667,0.107142857,0.1071,Malphite - Top,66.67,Broad
Malphite,TheRealPhilip,Top,2,0.5,16,2,0.4461,393.71,5.06,59.5,0.75,0,-1519,28,16,1.75,0.5,0.071428571,0.0714,Malphite - Top,50,Broad
Malphite,PieCakeLord,Top,2,0.5,15,2.88,0.7183,428.8,7.45,71.5,0.75,4,2221.5,28,16,1.75,0.5,0.071428571,0.0714,Malphite - Top,50,Broad
Malphite,Rodov,Top,1,0,15,2.38,0.7308,622.46,3.8,66,0.63,0,-599,28,16,1.75,0,0.035714286,0.0357,Malphite - Top,0,Broad
Malphite,InchesEvan,Top,2,0,12.5,0.92,0.5,428.52,5.5,55.5,0.81,0,-248.5,28,16,1.75,0,0.071428571,0.0714,Malphite - Top,0,Broad
Malphite,Engo,Top,3,0,14.33,1.67,0.509,411.61,5.89,59,0.93,0,-1175.67,28,16,1.75,0,0.107142857,0.1071,Malphite - Top,0,Broad
Malphite,Dragoon,Top,1,0,17,2.4,0.75,441.18,5.26,54,0.98,0,1377,28,16,1.75,0,0.035714286,0.0357,Malphite - Top,0,Broad
Malphite,Dinka,Top,1,0,16,0.75,0.2727,514.99,8.58,74,0.7,0,-697,28,16,1.75,0,0.035714286,0.0357,Malphite - Top,0,Broad
Malphite,CJSphinx,Top,1,0,15,2.25,0.6,456.67,4.24,32,0.69,0,-1023,28,16,1.75,0,0.035714286,0.0357,Malphite - Top,0,Broad
Malphite,Brown Man Darius,Top,2,0,15,0.89,0.4,289.76,5.39,53.5,0.69,0,-1610,28,16,1.75,0,0.071428571,0.0714,Malphite - Top,0,Broad
Malphite,Aetheres,Top,1,0,16,1.75,0.5833,616.3,6.63,62,0.81,0,1808,28,16,1.75,0,0.035714286,0.0357,Malphite - Top,0,Broad
Maokai,XQC ALPHA SNIPER,Top,1,1,16,2.4,0.5217,534.76,4.35,60,0.72,0,-949,25,15,1.666666667,1,0.04,0.04,Maokai - Top,100,Broad
Maokai,Topopotamus,Top,2,1,16,7,0.6614,441.15,5.88,61,1.06,0.5,-470,25,15,1.666666667,1,0.08,0.08,Maokai - Top,100,Broad
Maokai,Shamwow,Top,1,1,15,16,0.5517,392.79,5.81,74,0.53,0,2226,25,15,1.666666667,1,0.04,0.04,Maokai - Top,100,Broad
Maokai,Engo,Top,1,1,14,2.14,0.7143,615.92,4.82,38,1.08,0,-272,25,15,1.666666667,1,0.04,0.04,Maokai - Top,100,Broad
Maokai,Brown Man Darius,Top,3,0.6667,14.33,2.76,0.5947,515.33,4.91,57,0.75,1.33,-134.67,25,15,1.666666667,0.6667,0.12,0.12,Maokai - Top,66.67,Broad
