Champion,player,position,games,Win_perc,Champion_Level,KDA,KPAR,DPM,CSPM,CS_at_10,Vision_Score_PM,Enemy_JG_CS,Lane_dif_10,games_total,unique_players,avg_game,wr_round,pick_prop,pick_prop_round,champ_role
Kindred,Hyami,Jung,1,0,14,2,0.7273,279.79,5.64,5,1.39,8,225,100,21,4.761904762,0,0.01,0.01,Kindred - Jung
Kindred,Batmun,Jung,1,0,16,1.67,0.6522,415.1,4.75,3,1.09,5,384,100,21,4.761904762,0,0.01,0.01,Kindred - Jung
Lee Sin,Shorterace,Jung,3,1,11.67,7.4,0.5467,401.17,4.7,5,1.12,6.67,183,91,20,4.55,1,0.032967033,0.033,Lee Sin - Jung
Lee Sin,Seoksang,Jung,1,1,15,4.5,0.6667,360.75,4.85,3,0.96,16,500,91,20,4.55,1,0.010989011,0.011,Lee Sin - Jung
Lee Sin,Nxi,Jung,1,1,17,7,0.7241,581.99,5.85,5,1.38,12,-55,91,20,4.55,1,0.010989011,0.011,Lee Sin - Jung
Lee Sin,Hyami,Jung,1,1,14,6.33,0.7308,486.06,4.88,0,0.89,22,-2568,91,20,4.55,1,0.010989011,0.011,Lee Sin - Jung
Lee Sin,eXyu,Jung,2,1,17,6.5,0.7545,264.57,5.97,2,1.49,20.5,1119,91,20,4.55,1,0.021978022,0.022,Lee Sin - Jung
Lee Sin,Kitzuo,Jung,7,0.8571,13.86,3.97,0.6561,444.42,5.11,4.57,1.05,20.43,80.57,91,20,4.55,0.8571,0.076923077,0.0769,Lee Sin - Jung
Lee Sin,MikeYeung,Jung,5,0.6,14,2.73,0.4753,200.99,5.75,1.4,1.14,15.6,331.6,91,20,4.55,0.6,0.054945055,0.0549,Lee Sin - Jung
Lee Sin,Panda,Jung,2,0.5,12.5,2.88,0.7576,399.14,4.97,2.5,1.06,22,-1375.5,91,20,4.55,0.5,0.021978022,0.022,Lee Sin - Jung
Lee Sin,OddOrange,Jung,14,0.5,13.43,3.13,0.6948,288.54,4.95,3.64,1.46,10.79,-291.14,91,20,4.55,0.5,0.153846154,0.1538,Lee Sin - Jung
Lee Sin,Kenvi,Jung,4,0.5,12.5,4,0.7221,289.36,5.57,4.5,1.02,8.75,-51.25,91,20,4.55,0.5,0.043956044,0.044,Lee Sin - Jung
Lee Sin,Infectrix,Jung,10,0.5,13.9,2,0.5461,266.02,4.73,1.8,1.11,14.5,-1077.3,91,20,4.55,0.5,0.10989011,0.1099,Lee Sin - Jung
Lee Sin,Rosethorn,Jung,3,0.3333,13,1.67,0.6381,332.04,4.64,4.67,1.16,16,-95.33,91,20,4.55,0.3333,0.032967033,0.033,Lee Sin - Jung
Lee Sin,Avi,Jung,14,0.2857,13.21,2.18,0.6226,305.37,5.13,2.43,1.08,11.43,-480.36,91,20,4.55,0.2857,0.153846154,0.1538,Lee Sin - Jung
