Champion,player,position,games,Win_perc,Champion_Level,KDA,KPAR,DPM,CSPM,CS_at_10,Vision_Score_PM,Enemy_JG_CS,Lane_dif_10,games_total,unique_players,avg_game,wr_round,pick_prop,pick_prop_round,champ_role
Ezreal,Spider Queen,ADC,12,0.25,13.83,2.59,0.4626,508.08,6.97,71.08,0.85,0.33,-828.25,207,24,8.625,0.25,0.057971014,0.058,Ezreal - ADC
Ezreal,Seangravesgod,ADC,8,0.25,13.88,2.09,0.625,588.07,7.99,75.75,0.83,1.13,-729.75,207,24,8.625,0.25,0.038647343,0.0386,Ezreal - ADC
Ezreal,Meech,ADC,8,0.25,14.25,2.7,0.6125,641.02,8.19,71.5,0.63,0.5,-899.63,207,24,8.625,0.25,0.038647343,0.0386,Ezreal - ADC
Ezreal,Andybendy,ADC,12,0.25,14.25,2.5,0.6375,642.92,7.35,70.08,0.92,1.33,135.75,207,24,8.625,0.25,0.057971014,0.058,Ezreal - ADC
Ezreal,Wixxi,ADC,14,0.2143,12.93,2.41,0.4733,571.24,7.94,72,0.77,0.79,-590.14,207,24,8.625,0.2143,0.06763285,0.0676,Ezreal - ADC
Ezreal,Nightstar,ADC,1,0,15,1.25,0.3333,641.9,8.39,81,0.96,8,51,207,24,8.625,0,0.004830918,0.0048,Ezreal - ADC
Graves,TiaxWillRuleAll,ADC,1,1,18,31,0.8378,1146.27,7.66,69,1.58,11,1842,2,2,1,1,0.5,0.5,Graves - ADC
Graves,Nightstar,ADC,1,0,15,3.67,0.6471,676.75,10.19,91,1.25,1,-681,2,2,1,0,0.5,0.5,Graves - ADC
Heimerdinger,DanielRMC,ADC,1,0,13,1.67,0.4167,534.58,7.85,81,0.65,0,-394,1,1,1,0,1,1,Heimerdinger - ADC
Jhin,Value,ADC,2,1,16.5,5,0.6853,747.19,8.41,76.5,0.68,0,-246,19,7,2.714285714,1,0.105263158,0.1053,Jhin - ADC
Jhin,Swiftah,ADC,2,1,18,6.5,0.7102,780.37,8.76,69,1.03,2,-160,19,7,2.714285714,1,0.105263158,0.1053,Jhin - ADC
Jhin,EvanRL,ADC,2,1,15.5,4.17,0.5833,576.68,8.06,70,0.72,0,-193.5,19,7,2.714285714,1,0.105263158,0.1053,Jhin - ADC
Jhin,Andybendy,ADC,1,1,14,7,0.3684,332.04,8.85,83,1.02,0,337,19,7,2.714285714,1,0.052631579,0.0526,Jhin - ADC
Jhin,Spider Queen,ADC,6,0.8333,14.33,8.89,0.7055,417.88,7.38,67.17,1.01,1,-841.83,19,7,2.714285714,0.8333,0.315789474,0.3158,Jhin - ADC
Jhin,Dog2,ADC,4,0.25,12.75,1.9,0.3962,363.78,8.33,81,0.59,0,78.75,19,7,2.714285714,0.25,0.210526316,0.2105,Jhin - ADC
Jhin,Lobozz,ADC,2,0,11.5,1.36,0.3125,520.82,6.92,71,0.49,0,-976.5,19,7,2.714285714,0,0.105263158,0.1053,Jhin - ADC
Jinx,Lobozz,ADC,15,0.7333,14,3.81,0.6281,675.62,8.1,72.2,0.76,2.67,-525.4,18,4,4.5,0.7333,0.833333333,0.8333,Jinx - ADC
Jinx,Spider Queen,ADC,1,0,15,3.4,0.6296,705.25,8.07,69,1.36,0,903,18,4,4.5,0,0.055555556,0.0556,Jinx - ADC
Jinx,Spawn,ADC,1,0,14,3,0.6667,620.94,8.22,85,1.25,0,-427,18,4,4.5,0,0.055555556,0.0556,Jinx - ADC
Jinx,DanielRMC,ADC,1,0,14,3,0.7059,458.81,8.34,79,0.92,0,2060,18,4,4.5,0,0.055555556,0.0556,Jinx - ADC
KaiSa,Spider Queen,ADC,2,1,17,7,0.5131,580.76,8.6,76,1.02,8.5,-833.5,24,11,2.181818182,1,0.083333333,0.0833,KaiSa - ADC
