Champion,player,position,games,Win_perc,Champion_Level,KDA,KPAR,DPM,CSPM,CS_at_10,Vision_Score_PM,Enemy_JG_CS,Lane_dif_10,games_total,unique_players,avg_game,wr_round,pick_prop,pick_prop_round,champ_role
Gangplank,Dinka,Top,3,0,15.33,0.87,0.6071,461.67,8.27,66,0.65,0,-192,77,18,4.277777778,0,0.038961039,0.039,Gangplank - Top
Gangplank,A 5,Top,2,0,14,1.18,0.5192,680,6.28,54.5,0.56,0,-217.5,77,18,4.277777778,0,0.025974026,0.026,Gangplank - Top
Gnar,Quas,Top,8,0.875,14.75,6.13,0.5222,651.16,7.76,84,0.68,6.75,1306.75,19,5,3.8,0.875,0.421052632,0.4211,Gnar - Top
Gnar,InchesEvan,Top,2,0.5,12.5,2,0.3958,409.38,6.43,57,0.98,2,-1644,19,5,3.8,0.5,0.105263158,0.1053,Gnar - Top
Gnar,Engo,Top,6,0.5,15.67,2.5,0.4742,506.5,7.71,77,1.02,1.33,651.17,19,5,3.8,0.5,0.315789474,0.3158,Gnar - Top
Gnar,Aetheres,Top,2,0.5,17,2.11,0.4615,560.14,7.2,72.5,0.98,5,-961,19,5,3.8,0.5,0.105263158,0.1053,Gnar - Top
Gnar,Dinka,Top,1,0,14,1.33,0.3077,255.97,6.54,60,1.52,0,-254,19,5,3.8,0,0.052631579,0.0526,Gnar - Top
Graves,Brown Man Darius,Top,1,0,14,2,0.75,372.58,7.21,82,0.71,4,197,1,1,1,0,1,1,Graves - Top
Hecarim,TheRealPhilip,Top,5,1,14.6,4.7,0.4752,600.58,6,54.6,0.98,7.8,-924.6,12,5,2.4,1,0.416666667,0.4167,Hecarim - Top
Hecarim,Gible,Top,1,1,18,3.25,0.4483,361.76,7.02,79,0.82,9,392,12,5,2.4,1,0.083333333,0.0833,Hecarim - Top
Hecarim,Brown Man Darius,Top,1,1,16,5.67,0.7391,637.75,6.86,77,0.8,1,1380,12,5,2.4,1,0.083333333,0.0833,Hecarim - Top
Hecarim,Dinka,Top,4,0.5,14.25,2.28,0.4054,511.59,6.29,62,0.7,5.5,-640.25,12,5,2.4,0.5,0.333333333,0.3333,Hecarim - Top
Hecarim,PieCakeLord,Top,1,0,12,0.29,0.5,413.71,6.29,66,0.89,0,-1035,12,5,2.4,0,0.083333333,0.0833,Hecarim - Top
Illaoi,TheRealPhilip,Top,1,1,16,4.5,0.6923,1296.28,8.02,89,0.6,2,880,4,2,2,1,0.25,0.25,Illaoi - Top
Illaoi,Quas,Top,3,0.6667,14.67,4.57,0.4667,684.06,7.98,79,0.72,1.67,854,4,2,2,0.6667,0.75,0.75,Illaoi - Top
